,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
393,Yeni tikili,60,2,var,124000,mülkiyyətçi,510,İnşaatçılar m.,Yasamal r.,Yasamal q.,,,,,,,,4,10,393
394,Yeni tikili,158,3,var,230000,vasitəçi (agent),583,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,5,12,394
395,Köhnə tikili,35,1,var,67500,vasitəçi (agent),336,Yasamal r.,,,,,,,,,,3,5,395
396,Köhnə tikili,70,3,var,145000,vasitəçi (agent),146,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,8,9,396
397,Yeni tikili,215,4,var,322000,mülkiyyətçi,2233,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,İzmir parkı,Nizami m.,Yasamal r.,,,,,,14,22,397
398,Yeni tikili,72,1,yoxdur,57000,vasitəçi (agent),231,Xətai r.,Əhmədli q.,,,,,,,,,7,19,398
399,Köhnə tikili,70,3,var,175000,vasitəçi (agent),613,Bakı Musiqi Akademiyası,Milli Konservatoriya,Neft Akademiyası,Qış parkı,28 May m.,Nizami kinoteatrı,Nəsimi r.,,,,2,5,399
400,Köhnə tikili,95,3,var,88000,mülkiyyətçi,251,Neapol dairəsi,Xətai r.,,,,,,,,,2,9,400
401,Yeni tikili,136,3,yoxdur,149000,vasitəçi (agent),174,Zərifə Əliyeva adına park,Binəqədi r.,6-cı mikrorayon q.,,,,,,,,12,16,401
402,Yeni tikili,135,3,yoxdur,195000,vasitəçi (agent),143,Nərimanov r.,,,,,,,,,,14,19,402
403,Yeni tikili,135.6,3,yoxdur,169500,mülkiyyətçi,1504,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,9,21,403
404,Köhnə tikili,62,3,var,74000,vasitəçi (agent),358,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,3,5,404
405,Köhnə tikili,65,3,var,83000,vasitəçi (agent),163,Xətai r.,Həzi Aslanov q.,,,,,,,,,1,5,405
406,Köhnə tikili,48,2,yoxdur,55000,mülkiyyətçi,128,Sumqayıt,,,,,,,,,,5,5,406
407,Yeni tikili,125,3,yoxdur,243000,mülkiyyətçi,4593,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,5,12,407
408,Yeni tikili,87.7,3,yoxdur,87000,mülkiyyətçi,370,Suraxanı r.,Massiv D q.,,,,,,,,,4,10,408
409,Yeni tikili,110,3,yoxdur,160000,vasitəçi (agent),134,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,8,18,409
410,Köhnə tikili,51.7,2,var,85000,mülkiyyətçi,2730,Nərimanov r.,,,,,,,,,,9,9,410
411,Yeni tikili,87,3,var,156000,vasitəçi (agent),141,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,10,17,411
412,Köhnə tikili,120,5,var,177000,vasitəçi (agent),140,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,3,5,412
413,Yeni tikili,52,2,var,85000,vasitəçi (agent),190,Yasamal r.,Yeni Yasamal q.,,,,,,,,,11,20,413
414,Yeni tikili,150,3,var,365000,vasitəçi (agent),693,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,6,18,414
415,Köhnə tikili,42,2,yoxdur,71000,mülkiyyətçi,180,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,,1,5,415
416,Yeni tikili,68,2,yoxdur,127000,vasitəçi (agent),162,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,15,18,416
417,Yeni tikili,95,3,var,157000,mülkiyyətçi,402,Memar Əcəmi m.,Nəsimi r.,2-ci mikrorayon q.,,,,,,,,18,18,417
418,Yeni tikili,88,2,var,150000,vasitəçi (agent),142,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,,9,12,418
419,Yeni tikili,96,3,var,123000,mülkiyyətçi,869,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,Nizami m.,Yasamal r.,Yasamal q.,,,,,,15,16,419
420,Köhnə tikili,100,3,var,92000,vasitəçi (agent),175,Nəsimi m.,Binəqədi r.,,,,,,,,,9,9,420
421,Yeni tikili,55,2,var,47000,vasitəçi (agent),152,Sumqayıt,,,,,,,,,,10,16,421
422,Yeni tikili,78,3,yoxdur,96000,vasitəçi (agent),205,Yasamal r.,Yeni Yasamal q.,,,,,,,,,11,19,422
423,Yeni tikili,143,3,var,350000,vasitəçi (agent),979,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,16,20,423
424,Yeni tikili,90,2,yoxdur,30000,vasitəçi (agent),2213,İnşaatçılar m.,Yasamal r.,,,,,,,,,12,18,424
425,Yeni tikili,158,3,var,298000,mülkiyyətçi,3154,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,Dostluq kinoteatrı,Nəsimi r.,,,,,,,8,16,425
426,Yeni tikili,131,3,var,220000,mülkiyyətçi,820,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,2,7,426
427,Yeni tikili,117,3,yoxdur,135000,mülkiyyətçi,234,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,7,17,427
428,Yeni tikili,140,3,var,225000,vasitəçi (agent),175,Zoopark,Dostluq kinoteatrı,Nəsimi r.,,,,,,,,4,14,428
