Qiymet,sign,Sheher,Marka,Model,Buraxilish_ili,Ban_novu,Reng,Muherrik_hecm,Muherrik_guc,Yanacaq_novu,Yurush,Suret_qutusu,Oturucu,Yeni,barter_mumkundurmu
18200,$,Bakı,Toyota,Camry,2014,Sedan,Yaş Asfalt,2.5,181,Benzin,59000,Avtomat,Ön,Xeyr,Xeyr
22700,AZN,Bakı,Hyundai,Sonata,2013,Sedan,Yaş Asfalt,2,274,Benzin,70226,Avtomat,Ön,Xeyr,Xeyr
15900,AZN,Bakı,Mercedes,E 220,2000,Sedan,Gümüşü,2.2,167,Dizel,313000,Avtomat,Arxa,Xeyr,Xeyr
12000,AZN,Bakı,Ford,Transit,2003,Furqon,Gümüşü,1.8,80,Dizel,238235,Mexaniki,Arxa,Xeyr,Xeyr
7900,AZN,Bakı,Opel,Astra,1999,Universal,Yaşıl,1.6,105,Benzin,298000,Mexaniki,Ön,Xeyr,Xeyr
10300,AZN,Bakı,Ford,Galaxy,1999,Minivan,Ağ,1.6,110,Dizel,2563856,Avtomat,Tam,Xeyr,Xeyr
13300,AZN,Naxçıvan,LADA (VAZ),Niva,2016,Offroader / SUV,Göy,1.7,80,Benzin,64000,Mexaniki,Arxa,Xeyr,Bəli
2400,AZN,Şamaxı,LADA (VAZ),2106,1987,Sedan,Bej,1.5,65,Benzin,38465,Mexaniki,Arxa,Xeyr,Bəli
2350,AZN,Şəki,LADA (VAZ),21011,1982,Sedan,Ağ,1.3,65,Benzin,180000,Mexaniki,Arxa,Xeyr,Xeyr
42500,$,Bakı,Toyota,Camry,2018,Sedan,Qara,2.5,181,Benzin,0,Avtomat,Ön,Bəli,Bəli
20000,AZN,Bakı,Chevrolet,Cruze,2017,Sedan,Ağ,1.4,153,Benzin,10750,Avtomat,Ön,Xeyr,Xeyr
14500,AZN,Bakı,Kia,Cerato,2010,Sedan,Qara,2,150,Benzin,80000,Avtomat,Ön,Xeyr,Xeyr
10600,AZN,Bakı,LADA (VAZ),Niva,2013,Offroader / SUV,Göy,1.7,80,Benzin,85500,Mexaniki,Tam,Xeyr,Xeyr
